depth,Att0,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Att25,Att26,Att27,Att28,Att29,Att30,Att31,Att32,Att33,Att34,Att35
277.9574,0.973523,1.039986,0.978083,0.976639,1.043511,1.052873,1.097417,1.025226,1.061272,1.07214,1.019334,1.063867,1.031062,0.9822,1.062418,1.055471,1.00739,0.952044,0.914194,0.987701,1.085652,0.977195,0.944596,1.016339,0.991479,0.930894,1.049762,0.96391,0.938186,1.031968,1.03905,0.987275,1.067127,1.068814,0.818457,0.882361
277.9954,0.973523,1.039986,0.978083,0.976639,1.043511,1.052873,1.097417,1.025226,1.061272,1.07214,1.019334,1.063867,1.031062,0.9822,1.062418,1.055471,1.00739,0.952044,0.914194,0.987701,1.085652,0.977195,0.944596,1.016339,0.991479,0.930894,1.049762,0.96391,0.938186,1.031968,1.03905,0.987275,1.067127,1.068814,0.818457,0.882361
278.0336,0.973647,1.052794,1.025986,1.017612,1.005365,0.95949,1.091201,1.05097,1.058339,1.078262,1.030028,1.064139,1.041927,0.957705,1.023155,1.02875,1.022029,0.920461,0.91749,0.98222,1.077678,1.01206,0.979918,1.025465,0.993723,0.929126,0.953838,1.025681,0.940725,1.06225,1.105637,1.064101,1.148885,1.017628,0.837417,0.924539
278.0717,0.973647,1.052794,1.025986,1.017612,1.005365,0.95949,1.091201,1.05097,1.058339,1.078262,1.030028,1.064139,1.041927,0.957705,1.023155,1.02875,1.022029,0.920461,0.91749,0.98222,1.077678,1.01206,0.979918,1.025465,0.993723,0.929126,0.953838,1.025681,0.940725,1.06225,1.105637,1.064101,1.148885,1.017628,0.837417,0.924539
278.1098,0.964527,1.082391,0.994305,1.036534,1.103684,1.097833,1.061209,1.091749,1.095914,0.990341,0.9396,1.016333,1.052475,0.986955,1.047041,0.98158,0.962143,0.927442,0.929124,0.965275,1.02962,1.014287,0.991143,0.925664,0.904519,1.010313,0.978171,0.987483,1.007098,1.056399,1.089021,1.106368,1.139269,1.045932,0.920513,0.933822
278.1478,0.964527,1.082391,0.994305,1.036534,1.103684,1.097833,1.061209,1.091749,1.095914,0.990341,0.9396,1.016333,1.052475,0.986955,1.047041,0.98158,0.962143,0.927442,0.929124,0.965275,1.02962,1.014287,0.991143,0.925664,0.904519,1.010313,0.978171,0.987483,1.007098,1.056399,1.089021,1.106368,1.139269,1.045932,0.920513,0.933822
278.186,0.964527,1.082391,0.994305,1.036534,1.103684,1.097833,1.061209,1.091749,1.095914,0.990341,0.9396,1.016333,1.052475,0.986955,1.047041,0.98158,0.962143,0.927442,0.929124,0.965275,1.02962,1.014287,0.991143,0.925664,0.904519,1.010313,0.978171,0.987483,1.007098,1.056399,1.089021,1.106368,1.139269,1.045932,0.920513,0.933822
278.2241,1.024513,0.96859,0.981194,1.029625,1.023777,1.030654,0.971304,0.954582,0.988354,0.940757,1.006384,1.133922,1.171644,1.135658,1.170276,0.99346,0.939167,0.893673,0.941369,0.963658,0.966107,1.019463,0.998934,0.967635,1.082469,0.928064,1.019041,1.05201,1.035545,1.06559,1.183316,1.112784,1.188259,1.111061,0.923349,1.029522
278.2622,1.024513,0.96859,0.981194,1.029625,1.023777,1.030654,0.971304,0.954582,0.988354,0.940757,1.006384,1.133922,1.171644,1.135658,1.170276,0.99346,0.939167,0.893673,0.941369,0.963658,0.966107,1.019463,0.998934,0.967635,1.082469,0.928064,1.019041,1.05201,1.035545,1.06559,1.183316,1.112784,1.188259,1.111061,0.923349,1.029522
278.3002,1.019307,0.940356,0.961823,1.018847,1.041028,1.07911,1.028262,1.002096,1.076935,1.031325,1.023525,1.14449,1.094379,1.020467,1.028639,1.025377,0.939541,0.908135,0.947355,1.004068,1.029401,0.969735,0.934103,0.992992,0.93588,0.922961,1.009165,0.968962,1.014069,0.964836,1.1653,1.144559,1.110099,0.941416,0.940521,0.765491
278.3384,1.019307,0.940356,0.961823,1.018847,1.041028,1.07911,1.028262,1.002096,1.076935,1.031325,1.023525,1.14449,1.094379,1.020467,1.028639,1.025377,0.939541,0.908135,0.947355,1.004068,1.029401,0.969735,0.934103,0.992992,0.93588,0.922961,1.009165,0.968962,1.014069,0.964836,1.1653,1.144559,1.110099,0.941416,0.940521,0.765491
278.3765,1.019307,0.940356,0.961823,1.018847,1.041028,1.07911,1.028262,1.002096,1.076935,1.031325,1.023525,1.14449,1.094379,1.020467,1.028639,1.025377,0.939541,0.908135,0.947355,1.004068,1.029401,0.969735,0.934103,0.992992,0.93588,0.922961,1.009165,0.968962,1.014069,0.964836,1.1653,1.144559,1.110099,0.941416,0.940521,0.765491
278.4146,0.935567,0.957955,0.940842,0.99286,0.971333,1.061022,1.105251,1.079904,1.021492,1.026944,0.991314,1.036266,0.990668,0.970106,1.016178,0.929258,0.974736,0.933955,0.98436,0.976023,0.980997,1.078478,0.91181,0.898838,0.94695,0.940731,1.007893,1.070806,0.95711,1.085101,1.081,1.181902,1.181188,1.006408,0.903238,1.026053
278.4527,0.935567,0.957955,0.940842,0.99286,0.971333,1.061022,1.105251,1.079904,1.021492,1.026944,0.991314,1.036266,0.990668,0.970106,1.016178,0.929258,0.974736,0.933955,0.98436,0.976023,0.980997,1.078478,0.91181,0.898838,0.94695,0.940731,1.007893,1.070806,0.95711,1.085101,1.081,1.181902,1.181188,1.006408,0.903238,1.026053
278.4907,0.979138,0.994387,0.9244,0.890141,1.001416,1.016312,1.067152,1.033083,1.016335,1.02751,0.941343,0.979386,0.985058,0.932057,0.988927,0.975632,0.930867,0.909808,0.905611,0.978473,0.969915,1.014285,0.95014,0.970819,0.977812,0.941366,0.987501,0.985501,0.869627,1.06142,1.096978,1.109123,1.067683,0.963213,0.893819,0.971185
